11,11,11,667475082879,11
11,11,11,667475082945,11
11,11,11,667475083012,11
11,11,11,667475083085,11
11,11,11,667475083152,11
11,11,11,667475083223,11
11,11,11,667475083296,11
11,11,11,667475083363,11
11,11,11,667475083435,11
11,11,11,667475083507,11
11,11,11,667475083577,11
11,11,11,667475083645,11
11,11,11,667475102333,11
11,11,11,667475084836,11
11,11,11,667475084909,11
11,11,11,667475084974,11
11,11,11,667475085048,11
11,11,11,667475085113,11
11,11,11,667475085189,11
11,11,11,667475085255,11
11,11,11,667475085328,11
11,11,11,667475085392,11
11,11,11,667475085462,11
11,11,11,667475085538,11
11,11,11,667475085604,11
11,11,11,667475090649,11
11,11,11,667475090576,11
11,11,11,667475022959,11
11,11,11,667475023027,11
11,11,11,667475023091,11
